Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Versailles,48.8041484,2.1414322999999995,Piscine de Montbauron VertMarine,48.80291420680523,2.1407360405538136,Pool
Versailles,48.8041484,2.1414322999999995,La Crêperie,48.80565489449283,2.1355983410031176,Creperie
Versailles,48.8041484,2.1414322999999995,Hotel Mercure Versailles Chateau,48.80327609904527,2.134791863192118,Hotel
Versailles,48.8041484,2.1414322999999995,Les burgers de papa,48.80577921334067,2.13526448483085,Fast Food Restaurant
Versailles,48.8041484,2.1414322999999995,Nicolas,48.80538222808483,2.142074480652809,Wine Shop
Versailles,48.8041484,2.1414322999999995,Picard,48.80518033622597,2.144889119245155,Food & Drink Shop
Versailles,48.8041484,2.1414322999999995,corte,48.804774,2.147003,Italian Restaurant
Versailles,48.8041484,2.1414322999999995,Cap Tonic,48.80616098489985,2.1356121894474587,Gym / Fitness Center
Versailles,48.8041484,2.1414322999999995,La Maison de Fuji,48.80589852315476,2.1351900767733696,Japanese Restaurant
Saint-Germain-en-Laye,48.8944471,2.071765,Gare SNCF de Saint-Germain-en-Laye Bel-Air — Fourqueux,48.89464461584224,2.0702075251841014,Train Station
Saint-Germain-en-Laye,48.8944471,2.071765,Carrefour,48.8946692719416,2.0714731855513913,Supermarket
Saint-Germain-en-Laye,48.8944471,2.071765,Club Oxygène,48.89409470679844,2.0746534940548775,Gym / Fitness Center
Saint-Germain-en-Laye,48.8944471,2.071765,Stade de la Colline,48.892331558471525,2.06667423248291,Soccer Field
Le Vésinet,48.8944240918746,2.12715002522994,Coté Marché,48.89334,2.131717,French Restaurant
Le Vésinet,48.8944240918746,2.12715002522994,La Maison de Kyoto,48.8943087173483,2.1326127045411214,Japanese Restaurant
Le Vésinet,48.8944240918746,2.12715002522994,L'océan,48.8944706848657,2.1324524809990835,Seafood Restaurant
Le Vésinet,48.8944240918746,2.12715002522994,Place du Marché,48.892657478869175,2.1314379845276976,Plaza
Le Vésinet,48.8944240918746,2.12715002522994,Marché du Vésinet,48.89308755145677,2.1326025718221975,Farmers Market
Le Vésinet,48.8944240918746,2.12715002522994,Soprano,48.89271050787619,2.1332605633917967,Italian Restaurant
Le Vésinet,48.8944240918746,2.12715002522994,Pavillion des Ibis,48.89875380525857,2.128040773720752,French Restaurant
Dammartin-en-Serve,48.9061325567388,1.61913283436476,MOTRIO - GARAGE MOTRIO FOSSE,48.90264307,1.61907781,Auto Workshop
Dammartin-en-Serve,48.9061325567388,1.61913283436476,Fortunato Laurent,48.902629269501276,1.619335412979126,Home Service
Fourqueux,48.8903151316846,2.05976317097922,Golf de Fourqueux,48.89023787790682,2.0623552609893756,Golf Course
Fourqueux,48.8903151316846,2.05976317097922,Carrefour City Fourqueux,48.89017,2.06316,Supermarket
Fourqueux,48.8903151316846,2.05976317097922,Pandora,48.892298670138395,2.0576015915182215,Indie Movie Theater
Fourqueux,48.8903151316846,2.05976317097922,Marché de Fourqueux,48.886694636527,2.0632075927316555,Farmers Market
Bourdonné,48.756819,1.6644207999999998,Le B&P's,48.75661318037712,1.6633683560508445,BBQ Joint
Bourdonné,48.756819,1.6644207999999998,Pharmacie Leygues,48.757389,1.668418,Pharmacy
Condé-sur-Vesgre,48.74178870000001,1.6621733,Le Saint Germain,48.74265955771182,1.6608989238739014,Brewery
Condé-sur-Vesgre,48.74178870000001,1.6621733,Le Saint-Germain,48.74128360914749,1.6567408279525482,Café
Condé-sur-Vesgre,48.74178870000001,1.6621733,La Demeure De Francois 1er (Ex Mme Piaf),48.741345254389614,1.668054691257677,Other Great Outdoors
Magny-les-Hameaux,48.724337994059404,2.0860839136485403,Intermarché Super et Drive,48.724057,2.084227,Supermarket
Magny-les-Hameaux,48.724337994059404,2.0860839136485403,Kfé Inn,48.724142,2.083364,Restaurant
Magny-les-Hameaux,48.724337994059404,2.0860839136485403,Casino,48.72500681010437,2.083807220277205,Supermarket
Magny-les-Hameaux,48.724337994059404,2.0860839136485403,Magny Bio,48.72395496167461,2.0913642598316073,Organic Grocery
Châteaufort,48.7375173734467,2.09688676826974,La Belle Epoque,48.736358131367645,2.09161302775876,French Restaurant
Châteaufort,48.7375173734467,2.09688676826974,L'épi Castelfortain,48.736637,2.092016,Organic Grocery
Châteaufort,48.7375173734467,2.09688676826974,Le Resto,48.73686180495861,2.0918188849851185,French Restaurant
Toussus-le-Noble,48.75046629999999,2.1121699,le bouchon,48.75064981771681,2.112088036169821,French Restaurant
Toussus-le-Noble,48.75046629999999,2.1121699,Aérodrome-le-Noble,48.74651386666667,2.113713666666667,Airport
